centre name,postcode,square foot,how many rooms
London LGW10,RH1 1AX,95799,1915.98
London LGW11,RH1 1AX,31000,620
London LGW14,GU31 2BA,200000,4000
London LGW15,RH10 9BE,119500,2390
London LGW16,RH10 9BD,109000,2180
London LHR13,KT9 1SJ,107000,2140
London LHR17,UB7 ONA,43000,860
London LHR18,EC1Y 1HQ,26910,538.2
London LHR19,E14 9SZ,138800,2776
London LHR20,E14 9SD,66736,1334.72
London LON1,EC1 6QR,58125,1162.5
London LON2,EC1 6QR,23465,469.3
London LON3,EC1 6QR,19590,391.8
London 1 Data Center,RM10 7FZ,"580,000",11600
Hemel Hempstead 2 Data Center,HP2 7DF,"258,818",5176.36
Hemel Hempstead 3 Data Center,HP2 7TN,"100,000",2000
Hemel Hempstead 4 Data Center, HP2 4ZB,"100,000",2000
Slough 2 Data Center,SL1 4BG,"9,924",198.48
Slough 3 Data Center,SL1 4BG,"9,052",181.04
Iron Mountain Data Centers LON-2,SL1 4PF,"270,000",5400
Iron Mountain Data Centers LON-1,SL1 4JU ,112000,2240
The Chess Building,WD18 8UA ,"80,000",1600
China Mobile International,SL1 4EP,103495,2069.9
CyrusOne LON1 - Slough,SL1 Slough,45000,900
CyrusOne LON2,UB7 9FN,80557,1611.14
Green Mountain LON1-East,RM1 Romford,11000,220
LDeX London (LDeX1),NW2 7ET,"22,000",440
TELEHOUSE North Two,E14 2AA,"790,071",15801.42
"Colt London, Welwyn Garden City",AL7 1QA ,473612,9472.24
Tata Communications Cressex,HP12 3TA,"60,000",1200
TeliaSonera HEX/A,E149GE,"68,000",1360
Verizon UK5,NW1 0QG,"651,325",13026.5
Tata Communications Stratford,E15 1NG,"174,741",3494.82
Exchange Tower,E14 9GE,"28,589",571.78
Lumen London #1,E1 8 London,"25,143",502.86
Lumen London #2,EC1V 7EB,"25,143",502.86
Lumen London 3,E14 9YY,"8,000",160
